date	close	x
03-Jan-09	0	1231006505
04-Jan-09	0	1231092905
05-Jan-09	0	1231179305
06-Jan-09	0	1231265705
07-Jan-09	0	1231352105
08-Jan-09	0	1231438505
09-Jan-09	0	1231524905
10-Jan-09	0	1231611305
11-Jan-09	0	1231697705
12-Jan-09	153	1231784105
13-Jan-09	168	1231870505
14-Jan-09	168	1231956905
15-Jan-09	918	1232043305
16-Jan-09	1082	1232129705
17-Jan-09	1325	1232216105
18-Jan-09	1325	1232302505
19-Jan-09	1660	1232388905
20-Jan-09	4731	1232475305
21-Jan-09	6585	1232561705
22-Jan-09	8548	1232648105
23-Jan-09	9243	1232734505
24-Jan-09	12537	1232820905
25-Jan-09	12625	1232907305
26-Jan-09	12625	1232993705
27-Jan-09	15953	1233080105
28-Jan-09	15953	1233166505
29-Jan-09	15953	1233252905
30-Jan-09	17445	1233339305
31-Jan-09	17445	1233425705
01-Feb-09	29861	1233512105
02-Feb-09	29861	1233598505
03-Feb-09	30781	1233684905
04-Feb-09	31607	1233771305
05-Feb-09	31607	1233857705
06-Feb-09	31607	1233944105
07-Feb-09	42584	1234030505
08-Feb-09	50447	1234116905
09-Feb-09	64048	1234203305
10-Feb-09	64048	1234289705
11-Feb-09	65042	1234376105
12-Feb-09	65240	1234462505
13-Feb-09	65240	1234548905
14-Feb-09	65240	1234635305
15-Feb-09	68935	1234721705
16-Feb-09	68935	1234808105
17-Feb-09	75244	1234894505
18-Feb-09	75244	1234980905
19-Feb-09	75244	1235067305
20-Feb-09	77799	1235153705
21-Feb-09	77799	1235240105
22-Feb-09	79778	1235326505
23-Feb-09	79778	1235412905
24-Feb-09	79778	1235499305
25-Feb-09	79778	1235585705
26-Feb-09	79778	1235672105
27-Feb-09	79778	1235758505
28-Feb-09	89700	1235844905
01-Mar-09	91034	1235931305
02-Mar-09	91034	1236017705
03-Mar-09	92640	1236104105
04-Mar-09	92640	1236190505
05-Mar-09	97822	1236276905
06-Mar-09	98751	1236363305
07-Mar-09	98751	1236449705
08-Mar-09	104313	1236536105
09-Mar-09	104313	1236622505
10-Mar-09	104313	1236708905
11-Mar-09	104313	1236795305
12-Mar-09	104859	1236881705
13-Mar-09	107616	1236968105
14-Mar-09	107616	1237054505
15-Mar-09	107616	1237140905
16-Mar-09	126818	1237227305
17-Mar-09	126818	1237313705
18-Mar-09	126818	1237400105
19-Mar-09	129590	1237486505
20-Mar-09	131108	1237572905
21-Mar-09	131108	1237659305
22-Mar-09	135140	1237745705
23-Mar-09	135140	1237832105
24-Mar-09	135140	1237918505
25-Mar-09	135140	1238004905
26-Mar-09	140932	1238091305
27-Mar-09	140932	1238177705
28-Mar-09	145670	1238264105
29-Mar-09	145670	1238350505
30-Mar-09	145670	1238436905
31-Mar-09	151039	1238523305
01-Apr-09	151039	1238609705
02-Apr-09	151039	1238696105
03-Apr-09	151039	1238782505
04-Apr-09	151039	1238868905
05-Apr-09	151039	1238955305
06-Apr-09	154430	1239041705
07-Apr-09	154430	1239128105
08-Apr-09	154430	1239214505
09-Apr-09	154430	1239300905
10-Apr-09	154430	1239387305
11-Apr-09	155384	1239473705
12-Apr-09	155384	1239560105
13-Apr-09	159253	1239646505
14-Apr-09	159253	1239732905
